전통주명,가격,용량,주종,도수,단맛,신맛,바디감,청량감,잘 어울리는 음식,주원료,제조사,유형
샹스프랑보아즈,"150,000",500ml,과실주,13,1,4,4,2,"양념 소갈비, 육전","복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진,3
젤코바 프리미엄 와인,"33,000",500ml,과실주,12,1,4,4,2,"양념 소갈비, 육전","국내산 산머루, MBA포도",젤코바와이너리,3
명인 홍삼주,"12,000",375ml,약주,12.5,1,3,2,2,양념갈비,"쌀, 홍삼, 누룩, 정제수",,3
청산녹수 꿀막걸리,"18,000",750ml,탁주,8,1,2,4,3,양념갈비,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",,3
홍천강 탁주,"10,000",500ml,탁주,11,2,3,2,2,양념갈비,"홍천 쌀, 정제수, 국(밀 누룩)",예술주조,3
청양둔송구기주,"12,000",700ml,약주,16,3,1,4,1,양념된 고기,"쌀, 누룩, 구기자, 감초, 두충껍질",청양둔송구기주,1
모월 청,"21,000",500ml,약주,16,1,3,3,2,양념된 고기류,"쌀(국내산), 누룩, 정제수",모월,3
주산지 막걸리,"1,200",750ml,탁주,6,2,1,2,2,양념된 고기류,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 고과당, 물엿, 아스파탐, 삭카린나트륨, 정제수",청송양조장,2
설하담,"7,400",950ml,탁주,8,3,1,2,4,양념된 돼지고기,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소",리큐랩주식회사,2
산머루 크라테 스위트,"48,000",750ml,과실주,11.5,4,2,1,3,양념된 두부조림,산머리(국내산),수도산와이너리,2
선운산의 아침 복분자 막걸리,"28,000",750ml,탁주,6,2,2,2,1,양념을 강하게 하지 않은 생선찜,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",국순당고창명주㈜,2
은자골 곶감 생 탁배기,"1,500",750ml,탁주,6,1,1,1,3,양념을 많이 하지 않은 생선회,"백미, 소맥분, 정제수, 곶감분말, 전분당, 국, 누룩, 효소, 아스파탐 등",은척 양조장,2
백련 생막걸리 misty (미스티),"3,000",750ml,탁주,7,2,3,4,4,양념한 생선찜,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등",신평양조장,4
하얀연꽃 백련생막걸리 Misty,"3,000",375ml,탁주,7,2,3,2,4,양념한 생선찜,"국내산 백미, 국내산 백련잎",신평양조장,4
볼빨간막걸리 10,"7,000",500ml,탁주,10,1,5,4,4,양지수육무침,"찹쌀(국내산), 누룩, 정제수",농업회사법인 (주)벗드림,4
백련 맑은술,"7,000",375ml,약주,12,2,2,2,1,어묵,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩",,2
